Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Size_Varies,Size_in_Mb,Size_in_Kb,Events,Word,Weather,Finance,Music & Video,Personalization,Simulation,Libraries & Demo,Medical,Art & Design,Dating,Lifestyle,Adventure,House & Home,Board,Casino,Entertainment,Communication,Role Playing,Business,Parenting,Health & Fitness,Arcade,Pretend Play,Comics,Music,Racing,Photography,Card,Travel & Local,News & Magazines,Action,Casual,Maps & Navigation,Brain Games,Puzzle,Food & Drink,Education,Auto & Vehicles,Creativity,Tools,Sports,Video Players & Editors,Educational,Action & Adventure,Productivity,Social,Strategy,Shopping,Trivia,Music & Audio,Books & Reference,Beauty,Last Updated Year
ART_AND_DESIGN,4.1,159,19.0,"10,000+",Free,0.0,Everyone,['Art & Design'],"January 7, 2018",1.0.0,4.0 and up,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ART_AND_DESIGN,3.9,967,14.0,"500,000+",Free,0.0,Everyone,"['Art & Design', 'Pretend Play']","January 15, 2018",2.0.0,4.0 and up,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ART_AND_DESIGN,4.7,87510,8.7,"5,000,000+",Free,0.0,Everyone,['Art & Design'],"August 1, 2018",1.2.4,4.0 and up,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ART_AND_DESIGN,4.5,215644,25.0,"50,000,000+",Free,0.0,Teen,['Art & Design'],"June 8, 2018",Varies with device,4.0 and up,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ART_AND_DESIGN,4.3,967,2.8,"100,000+",Free,0.0,Everyone,"['Art & Design', 'Creativity']","June 20, 2018",1.1,4.0 and up,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ART_AND_DESIGN,4.4,167,5.6,"50,000+",Free,0.0,Everyone,['Art & Design'],"March 26, 2017",1.0,2.0 and up,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ART_AND_DESIGN,3.8,178,19.0,"50,000+",Free,0.0,Everyone,['Art & Design'],"April 26, 2018",1.1,4.0 and up,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ART_AND_DESIGN,4.1,36815,29.0,"1,000,000+",Free,0.0,Everyone,['Art & Design'],"June 14, 2018",6.1.61.1,4.0 and up,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ART_AND_DESIGN,4.4,13791,33.0,"1,000,000+",Free,0.0,Everyone,['Art & Design'],"September 20, 2017",2.9.2,3.0 and up,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ART_AND_DESIGN,4.7,121,3.1,"10,000+",Free,0.0,Everyone,"['Art & Design', 'Creativity']","July 3, 2018",2.8,4.0 and up,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ART_AND_DESIGN,4.4,13880,28.0,"1,000,000+",Free,0.0,Everyone,['Art & Design'],"October 27, 2017",1.0.4,4.0 and up,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ART_AND_DESIGN,4.4,8788,12.0,"1,000,000+",Free,0.0,Everyone,['Art & Design'],"July 31, 2018",1.0.15,4.0 and up,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ART_AND_DESIGN,4.2,44829,20.0,"10,000,000+",Free,0.0,Teen,['Art & Design'],"April 2, 2018",3.8,4.0 and up,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
